2029,Alexander Hamilton U.S. Custom House,40.70381622,-74.0137558,10004,1 Bowling Grn,http://www.oldnycustomhouse.gov/,museum
2030,Alice Austen House Museum,40.61512084,-74.06303179,10305,2 Hylan Blvd,http://www.aliceausten.org/,museum
2031,American Academy of Arts and Letters,40.8338535,-73.94729769,10032,633 W. 155th St.,http://www.artsandletters.org/,museum
2032,American Folk Art Museum,40.76162497,-73.97810302,10019,45 West 53rd Street,http://www.folkartmuseum.org/,museum
2033,American Immigration History Center,40.69905626,-74.03968484,0,Ellis Island,http://www.ellisisland.org/,museum
2034,American Museum of Natural History,40.78082623,-73.97364816,10024,Central Park West at 79th Street,http://www.amnh.org/,museum
2035,American Numismatic Society,40.72352659,-74.00701188,10013,75 Varick St,http://www.numismatics.org/,museum
2036,Americas Society,40.76882423,-73.96597045,10021,680 Park Ave.,http://as.americas-society.org/,museum
2037,Anne Frank Center USA,40.72112745,-73.99963037,10012,38 Crosby Street,http://www.annefrank.com/,museum
2038,Asia Society,40.76983378,-73.96428396,10021,725 Park Avenue,http://www.asiasociety.org/,museum
2039,Audubon Terrace,40.83358228,-73.9465459,10032,Broadway at 155 Street,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,museum
2040,Bartow-Pell Mansion,40.87177832,-73.8055795,10464,895 Shore Road,http://bartowpellmansionmuseum.org/index.php,museum
2041,Bowne House,40.76288633,-73.82489046,11354,37-01 Bowne Street,http://www.bownehouse.org/,museum
2042,Bronx Historical Society & Musem,40.87823644,-73.87974874,10467,3309 Bainbridge Ave,http://www.bronxhistoricalsociety.org/,museum
2043,Bronx Museum of the Arts (BXMA),40.83102978,-73.91975018,10456,1040 Grand Concourse,http://www.bronxmuseum.org/,museum
2044,Brooklyn Children's Museum,40.674507,-73.94401601,11213,145 Brooklyn Avenue,http://www.brooklynkids.org/,museum
2045,Brooklyn Historical Society,40.69480297,-73.9924054,11201,128 Pierrepont Street,http://www.brooklynhistory.org/default/index.html,museum
2046,Brooklyn Museum,40.67108321,-73.96358507,11238,200 Eastern Parkway,http://www.brooklynmuseum.org/,museum
2047,Chelsea Art Museum,40.7478976,-74.00731553,10011,556 West 22nd Street,http://www.chelseaartmuseum.org/,museum
2048,Children's Museum of Manhattan,40.78587092,-73.97727392,10024,212 West 83rd Street,http://www.cmom.org/,museum
2049,Children's Museum of the Arts,40.72074947,-73.99883836,10012,182 Lafayette Street,http://cmany.org/intro.php?pn=home,museum
2050,Cloisters,40.86492364,-73.93173409,10040,99 Margaret Corbin Drive,http://www.metmuseum.org/cloisters/,museum
2051,Coney Island Museum,40.57526324,-73.97985598,11224,1208 Surf Ave,http://www.coneyisland.com/,museum
2052,"Cooper-Hewitt, National Design Museum",40.78432574,-73.95778162,10128,2 East 91st Street,http://www.cooperhewitt.org/,museum
2053,Dahesh Museum,40.76210697,-73.9730419,10022,580 Madison Avenue,http://www.daheshmuseum.org,museum
2054,Dia at the Hispanic Society,40.83330211,-73.94649318,10032,613 West 155th Street,http://www.diabeacon.org/,museum
2055,Dia Art Foundation,40.74789493,-74.00613538,10011,535 W 22nd Street,http://www.diacenter.org/,museum
2056,Discovery Times Square Exposition,40.75750109,-73.98731864,1036,226 W 44th St,http://www.discoverytsx.com/nyc/,museum
2057,Drawing Center,40.72245119,-74.00290417,10013,35 Wooster St.,http://www.drawingcenter.org/about_visit.cfm,museum
2058,Dyckman Farmhouse,40.86713092,-73.92383915,10034,4881 Broadway,http://www.dyckmanfarmhouse.org/,museum
2059,East Village History Project,40.7249597,-73.99272306,10012,308 Bowery,http://leshp.org/,museum
2060,El Museo del Barrio,40.79309892,-73.9513676,10029,1230 Fifth Ave,http://www.elmuseo.org/,museum
2061,Ellis Island Museum,40.69820755,-74.04132162,0,Ellis Island,http://www.ellisisland.org/,museum
2062,Fraunces Tavern Museum,40.70339928,-74.01133926,10004,54 Pearl Street,http://www.frauncestavernmuseum.org/,museum
2063,Frick Collection,40.77105465,-73.96708041,10021,1 E. 70th Street,http://www.frick.org/,museum
